name,rawdataurl
banner.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/banner.png
Abomination.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Abomination.png
Asksvin.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Asksvin.png
Asksvin_hatchling.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Asksvin_hatchling.png
Bat.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Bat.png
Bjorn.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Bjorn.png
Blob.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Blob.png
BlobElite.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BlobElite.png
BlobFrost.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BlobFrost.png
BlobLava.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BlobLava.png
BlobTar.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BlobTar.png
Boar.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Boar.png
Boar_piggy.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Boar_piggy.png
BogWitchKvastur.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BogWitchKvastur.png
Bonemass.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Bonemass.png
BonemawSerpent.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/BonemawSerpent.png
Charred_Archer.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Archer.png
Charred_Archer_Fader.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Archer_Fader.png
Charred_Mage.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Mage.png
Charred_Melee.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Melee.png
Charred_Melee_Dyrnwyn.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Melee_Dyrnwyn.png
Charred_Melee_Fader.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Melee_Fader.png
Charred_Twitcher.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Twitcher.png
Charred_Twitcher_Summoned.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Charred_Twitcher_Summoned.png
Chicken.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Chicken.png
Deathsquito.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Deathsquito.png
Deer.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Deer.png
Dragon.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Dragon.png
Draugr.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Draugr.png
Draugr_Elite.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Draugr_Elite.png
Draugr_Ranged.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Draugr_Ranged.png
Dverger.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Dverger.png
DvergerAshlands.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerAshlands.png
DvergerMage.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerMage.png
DvergerMageFire.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerMageFire.png
DvergerMageIce.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerMageIce.png
DvergerMageSupport.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerMageSupport.png
DvergerTest.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/DvergerTest.png
Eikthyr.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Eikthyr.png
Fader.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Fader.png
FallenValkyrie.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/FallenValkyrie.png
Fenring.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Fenring.png
Fenring_Cultist.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Fenring_Cultist.png
Fenring_Cultist_Hildir.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Fenring_Cultist_Hildir.png
Fenring_Cultist_Hildir_nochest.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Fenring_Cultist_Hildir_nochest.png
Ghost.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Ghost.png
Gjall.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Gjall.png
Goblin.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/Goblin.png
GoblinArcher.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinArcher.png
GoblinBrute.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinBrute.png
GoblinBruteBros.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinBruteBros.png
GoblinBruteBros_nochest.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinBruteBros_nochest.png
GoblinBrute_Hildir.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinBrute_Hildir.png
GoblinKing.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinKing.png
GoblinShaman.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinShaman.png
GoblinShaman_Hildir.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinShaman_Hildir.png
GoblinShaman_Hildir_nochest.png,https://raw.githubusercontent.com/Valheim-Modding/Jotunn/dev/JotunnLib/Documentation/images/characters/GoblinShaman_Hildir_nochest.png
